Property_ID,District,Locality,Area_Type,Property_Type,Area_sqft,BHK,Bathrooms,Property_Age_Years,Parking_Spaces,Furnishing,Floor,Distance_to_City_Center_km,Road_Access,Gated_Community,Price_INR,Research_Anchor_Rate_INR_per_sqft,Price_Data_Type
KHP100016,Kottayam,Kumarakom,Semi-Urban,Independent House,2437,3,3,24,1,Unfurnished,2,4.7,Main Road,Yes,16030000,6500,Research-informed synthetic estimate
KHP100017,Kottayam,Kottayam Town,Urban,Apartment,2077,3,3,16,1,Fully Furnished,6,6.6,Local Road,No,11570000,5200,Research-informed synthetic estimate
KHP100018,Ernakulam,Kizhakkambalam,Rural,Independent House,4079,6,5,19,0,Unfurnished,1,1.4,Highway Access,No,19610000,4700,Research-informed synthetic estimate
KHP100019,Palakkad,Shoranur,Semi-Urban,Independent House,2812,2,2,2,3,Unfurnished,0,6.3,Narrow Road,No,6990000,3100,Research-informed synthetic estimate
KHP100020,Kozhikode,Mukkam,Rural,Independent House,2105,4,4,28,1,Fully Furnished,0,7.6,Local Road,No,4760000,3000,Research-informed synthetic estimate
KHP100021,Kollam,Chinnakada,Urban,Independent House,1554,3,3,5,1,Unfurnished,1,4.0,Main Road,No,7760000,5000,Research-informed synthetic estimate
KHP100022,Malappuram,Ponnani,Semi-Urban,Villa,1355,3,3,17,2,Unfurnished,2,5.1,Local Road,Yes,4050000,3500,Research-informed synthetic estimate
KHP100023,Kollam,Kavanad,Semi-Urban,Apartment,1793,2,2,15,2,Semi-Furnished,0,8.3,Narrow Road,No,7420000,5000,Research-informed synthetic estimate
KHP100024,Ernakulam,Kakkanad,Rural,Villa,3326,5,5,6,3,Unfurnished,1,3.3,Narrow Road,No,22220000,6500,Research-informed synthetic estimate
KHP100025,Kannur,Payyannur,Rural,Villa,3952,5,5,16,1,Fully Furnished,0,0.3,Main Road,Yes,18190000,3900,Research-informed synthetic estimate
KHP100026,Malappuram,Parappanangadi,Rural,Independent House,3610,5,5,24,0,Unfurnished,0,8.6,Main Road,No,11100000,3600,Research-informed synthetic estimate
KHP100027,Pathanamthitta,Mallappally,Semi-Urban,Apartment,1608,2,2,29,1,Semi-Furnished,1,4.4,Main Road,Yes,4310000,3000,Research-informed synthetic estimate
KHP100028,Kottayam,Kanjirappally,Rural,Independent House,2030,4,4,28,1,Semi-Furnished,1,5.8,Local Road,Yes,4570000,3000,Research-informed synthetic estimate
KHP100029,Palakkad,Alathur,Rural,Independent House,2229,3,3,25,2,Semi-Furnished,0,3.1,Narrow Road,No,4660000,2900,Research-informed synthetic estimate
KHP100030,Kasaragod,Nileshwar,Semi-Urban,Villa,3646,5,5,12,0,Semi-Furnished,1,6.8,Local Road,No,11950000,3200,Research-informed synthetic estimate
KHP100031,Thrissur,Ayyanthole,Semi-Urban,Apartment,3714,5,5,11,0,Semi-Furnished,5,1.2,Local Road,No,18680000,5000,Research-informed synthetic estimate
KHP100032,Pathanamthitta,Mallappally,Semi-Urban,Independent House,3838,6,5,23,0,Unfurnished,1,10.6,Narrow Road,No,8380000,3000,Research-informed synthetic estimate
KHP100033,Palakkad,Chittur,Semi-Urban,Residential Plot,1419,2,2,16,3,Semi-Furnished,1,2.3,Narrow Road,No,2980000,2900,Research-informed synthetic estimate
KHP100034,Malappuram,Ponnani,Semi-Urban,Apartment,2901,5,5,10,2,Unfurnished,4,2.3,Local Road,Yes,11000000,3500,Research-informed synthetic estimate
KHP100035,Thrissur,Mannuthy,Rural,Independent House,3858,6,5,12,2,Semi-Furnished,0,4.9,Main Road,Yes,16470000,4000,Research-informed synthetic estimate
KHP100036,Idukki,Adimali,Semi-Urban,Apartment,1121,1,1,3,0,Fully Furnished,5,2.9,Narrow Road,No,3040000,3000,Research-informed synthetic estimate
KHP100037,Ernakulam,Pallikkara,Semi-Urban,Villa,736,1,1,7,2,Unfurnished,0,4.2,Highway Access,Yes,3960000,4600,Research-informed synthetic estimate
KHP100038,Kannur,Thalassery,Semi-Urban,Independent House,1544,2,1,12,2,Unfurnished,2,6.6,Main Road,Yes,6320000,4300,Research-informed synthetic estimate
KHP100039,Kozhikode,Vellayil,Semi-Urban,Independent House,4181,6,5,27,3,Semi-Furnished,2,12.5,Main Road,No,24430000,7100,Research-informed synthetic estimate
KHP100040,Thrissur,Kuttanellur,Semi-Urban,Residential Plot,3346,6,5,23,0,Semi-Furnished,1,5.8,Local Road,No,16130000,5500,Research-informed synthetic estimate
KHP100041,Kottayam,Changanassery,Semi-Urban,Independent House,1480,2,2,2,0,Semi-Furnished,2,0.8,Highway Access,No,7780000,4300,Research-informed synthetic estimate
KHP100042,Kasaragod,Cheruvathur,Rural,Villa,955,1,1,24,3,Fully Furnished,0,6.2,Main Road,No,2620000,2900,Research-informed synthetic estimate
KHP100043,Malappuram,Kottakkal,Semi-Urban,Independent House,4052,6,5,16,0,Semi-Furnished,1,2.3,Local Road,Yes,16630000,4400,Research-informed synthetic estimate
KHP100044,Kannur,Taliparamba,Rural,Residential Plot,4136,6,5,23,1,Semi-Furnished,1,0.5,Local Road,No,11920000,3500,Research-informed synthetic estimate
KHP100045,Ernakulam,Kadavanthra,Urban,Apartment,3164,5,5,30,1,Unfurnished,4,1.4,Highway Access,No,30960000,9000,Research-informed synthetic estimate
KHP100046,Kollam,Karunagappally,Semi-Urban,Independent House,1321,2,2,4,1,Semi-Furnished,1,4.1,Local Road,No,4230000,3800,Research-informed synthetic estimate
KHP100047,Pathanamthitta,Mallappally,Semi-Urban,Residential Plot,1378,2,1,2,1,Semi-Furnished,1,9.9,Main Road,No,3490000,3000,Research-informed synthetic estimate
KHP100048,Kannur,Thalassery,Semi-Urban,Villa,982,2,2,26,3,Unfurnished,1,3.8,Main Road,No,3870000,4300,Research-informed synthetic estimate
KHP100049,Kannur,Payyannur,Semi-Urban,Independent House,717,1,1,17,1,Unfurnished,1,2.1,Local Road,No,2020000,3900,Research-informed synthetic estimate
KHP100050,Malappuram,Manjeri,Semi-Urban,Independent House,1903,4,4,23,0,Semi-Furnished,1,3.4,Local Road,No,6580000,4300,Research-informed synthetic estimate
KHP100051,Kannur,Chala,Rural,Villa,877,2,2,21,1,Semi-Furnished,2,1.1,Highway Access,No,2750000,3600,Research-informed synthetic estimate
KHP100052,Palakkad,Pattambi,Rural,Apartment,2044,2,2,14,1,Semi-Furnished,1,2.7,Local Road,Yes,4770000,3000,Research-informed synthetic estimate
KHP100053,Malappuram,Kondotty,Semi-Urban,Villa,2168,4,4,19,1,Fully Furnished,0,3.3,Local Road,No,11070000,4300,Research-informed synthetic estimate
KHP100054,Kozhikode,Vadakara,Semi-Urban,Independent House,2443,4,4,22,0,Fully Furnished,2,8.2,Highway Access,No,16970000,6800,Research-informed synthetic estimate
KHP100055,Malappuram,Kottakkal,Rural,Independent House,4087,6,5,26,0,Semi-Furnished,0,8.2,Main Road,No,15260000,4400,Research-informed synthetic estimate
KHP100056,Kottayam,Manarcadu,Semi-Urban,Villa,1076,1,1,17,1,Semi-Furnished,2,8.4,Local Road,Yes,3760000,3600,Research-informed synthetic estimate
KHP100057,Thiruvananthapuram,Peroorkada,Rural,Independent House,919,1,1,5,0,Semi-Furnished,0,4.9,Local Road,No,3930000,5900,Research-informed synthetic estimate
KHP100058,Kannur,Chala,Semi-Urban,Independent House,3057,5,5,15,1,Unfurnished,0,7.2,Main Road,No,10820000,3600,Research-informed synthetic estimate
KHP100059,Thiruvananthapuram,Kazhakkoottam,Semi-Urban,Independent House,2897,5,5,30,1,Semi-Furnished,2,4.6,Highway Access,Yes,20330000,6800,Research-informed synthetic estimate
KHP100060,Kollam,Kollam Town,Urban,Residential Plot,2183,4,4,11,1,Unfurnished,0,8.3,Main Road,No,9530000,4800,Research-informed synthetic estimate
KHP100061,Kozhikode,Thondayad,Rural,Residential Plot,3317,6,5,10,3,Unfurnished,1,3.2,Narrow Road,Yes,14640000,5000,Research-informed synthetic estimate
KHP100062,Wayanad,Panamaram,Rural,Villa,4108,6,5,11,0,Fully Furnished,1,3.8,Main Road,No,15470000,2900,Research-informed synthetic estimate
KHP100063,Alappuzha,Kayamkulam,Semi-Urban,Apartment,2540,5,5,0,3,Unfurnished,0,2.0,Highway Access,No,11470000,3600,Research-informed synthetic estimate
KHP100064,Palakkad,Mannarkkad,Rural,Independent House,2307,3,3,4,0,Fully Furnished,1,0.3,Main Road,Yes,7440000,2800,Research-informed synthetic estimate
KHP100065,Wayanad,Kalpetta,Semi-Urban,Villa,1825,4,4,15,3,Semi-Furnished,2,3.4,Local Road,No,8390000,4300,Research-informed synthetic estimate
KHP100066,Pathanamthitta,Mallappally,Rural,Residential Plot,2548,3,3,8,0,Semi-Furnished,1,1.5,Local Road,No,4960000,3000,Research-informed synthetic estimate
KHP100067,Kottayam,Kottayam Town,Urban,Independent House,854,1,1,28,3,Fully Furnished,1,3.4,Main Road,No,4160000,5200,Research-informed synthetic estimate
KHP100068,Kollam,Chinnakada,Urban,Independent House,1898,3,3,18,0,Unfurnished,1,1.3,Narrow Road,No,7090000,5000,Research-informed synthetic estimate
KHP100069,Thiruvananthapuram,Technopark,Semi-Urban,Independent House,3950,6,5,22,0,Semi-Furnished,1,0.4,Local Road,No,24600000,7000,Research-informed synthetic estimate
KHP100070,Pathanamthitta,Ranni,Rural,Apartment,861,1,1,4,2,Unfurnished,5,5.2,Local Road,No,2160000,3000,Research-informed synthetic estimate
KHP100071,Kottayam,Changanassery,Semi-Urban,Apartment,1785,1,1,30,0,Unfurnished,0,3.2,Main Road,No,6200000,4300,Research-informed synthetic estimate
KHP100072,Palakkad,Mannarkkad,Rural,Independent House,3819,4,4,14,0,Unfurnished,0,6.2,Main Road,No,10120000,2800,Research-informed synthetic estimate
KHP100073,Malappuram,Kondotty,Rural,Apartment,3286,6,5,1,2,Semi-Furnished,7,4.6,Local Road,No,15950000,4300,Research-informed synthetic estimate
KHP100074,Idukki,Thodupuzha,Semi-Urban,Independent House,2882,3,3,24,2,Unfurnished,0,4.7,Narrow Road,No,8520000,3900,Research-informed synthetic estimate
KHP100075,Malappuram,Tirur,Semi-Urban,Apartment,4124,6,5,10,1,Unfurnished,1,6.1,Main Road,No,18490000,4200,Research-informed synthetic estimate
KHP100076,Thrissur,Patturaikkal,Semi-Urban,Residential Plot,3728,6,5,28,1,Unfurnished,0,3.4,Local Road,No,13460000,5600,Research-informed synthetic estimate
KHP100077,Idukki,Kattappana,Semi-Urban,Independent House,3821,6,5,2,1,Unfurnished,2,4.4,Main Road,No,14050000,3000,Research-informed synthetic estimate
KHP100078,Malappuram,Nilambur,Semi-Urban,Villa,2705,5,5,24,0,Semi-Furnished,1,3.3,Main Road,No,9540000,3300,Research-informed synthetic estimate
KHP100079,Kozhikode,Vadakara,Semi-Urban,Independent House,2379,2,2,18,1,Unfurnished,1,2.5,Narrow Road,No,11770000,6800,Research-informed synthetic estimate
KHP100080,Kollam,Paravur,Rural,Villa,3109,4,4,9,0,Semi-Furnished,1,4.5,Main Road,No,12430000,3600,Research-informed synthetic estimate
KHP100081,Kannur,Iritty,Rural,Independent House,2631,4,4,26,2,Fully Furnished,1,7.1,Highway Access,No,6230000,2800,Research-informed synthetic estimate
KHP100082,Malappuram,Manjeri,Rural,Villa,2568,4,4,18,1,Unfurnished,2,3.2,Narrow Road,Yes,8200000,4300,Research-informed synthetic estimate
KHP100083,Idukki,Adimali,Semi-Urban,Independent House,2087,3,3,12,2,Semi-Furnished,1,2.3,Local Road,Yes,6250000,3000,Research-informed synthetic estimate
KHP100084,Ernakulam,Thrippunithura,Rural,Independent House,2624,3,3,26,2,Fully Furnished,2,3.9,Local Road,No,11810000,6000,Research-informed synthetic estimate
KHP100085,Thiruvananthapuram,Pattom,Urban,Independent House,2849,5,5,23,3,Semi-Furnished,2,13.4,Narrow Road,No,17820000,7200,Research-informed synthetic estimate
KHP100086,Alappuzha,Chengannur,Semi-Urban,Apartment,1562,2,2,19,1,Semi-Furnished,6,6.3,Local Road,No,6010000,4300,Research-informed synthetic estimate
KHP100087,Alappuzha,Chengannur,Semi-Urban,Independent House,3570,6,5,15,0,Unfurnished,2,3.5,Main Road,No,13730000,4300,Research-informed synthetic estimate
KHP100088,Ernakulam,Maradu,Rural,Independent House,3356,5,4,6,0,Fully Furnished,1,2.2,Highway Access,Yes,34730000,7300,Research-informed synthetic estimate
KHP100089,Kollam,Chinnakada,Urban,Independent House,3694,6,5,2,1,Semi-Furnished,2,2.2,Narrow Road,No,20520000,5000,Research-informed synthetic estimate
KHP100090,Kozhikode,Feroke,Semi-Urban,Independent House,2060,4,4,13,1,Unfurnished,0,17.9,Local Road,No,5920000,3700,Research-informed synthetic estimate
KHP100091,Thiruvananthapuram,Pattom,Urban,Independent House,3049,4,4,3,0,Unfurnished,2,6.8,Local Road,No,19790000,7200,Research-informed synthetic estimate
KHP100092,Thiruvananthapuram,Kowdiar,Urban,Independent House,2824,4,4,6,3,Unfurnished,2,8.3,Highway Access,No,27140000,9000,Research-informed synthetic estimate
KHP100093,Kollam,Asramam,Rural,Apartment,3878,6,5,30,1,Unfurnished,6,7.2,Narrow Road,No,14520000,5200,Research-informed synthetic estimate
KHP100094,Thiruvananthapuram,Kazhakkoottam,Rural,Villa,3506,6,5,13,0,Unfurnished,0,3.9,Narrow Road,No,19430000,6800,Research-informed synthetic estimate
KHP100095,Palakkad,Mannarkkad,Rural,Residential Plot,2530,4,4,16,2,Unfurnished,2,4.1,Main Road,No,4490000,2800,Research-informed synthetic estimate
KHP100096,Thrissur,Punkunnam,Semi-Urban,Villa,2946,5,4,2,3,Semi-Furnished,2,2.8,Local Road,No,18140000,5500,Research-informed synthetic estimate
KHP100097,Thrissur,Kuttanellur,Semi-Urban,Independent House,2892,4,4,7,3,Fully Furnished,0,6.5,Main Road,No,18870000,5500,Research-informed synthetic estimate
KHP100098,Ernakulam,Pallikkara,Rural,Villa,3348,4,4,12,2,Unfurnished,1,2.0,Highway Access,No,18040000,4600,Research-informed synthetic estimate
KHP100099,Wayanad,Sulthan Bathery,Semi-Urban,Independent House,1036,3,3,0,2,Semi-Furnished,1,2.6,Local Road,No,3910000,3900,Research-informed synthetic estimate
KHP100100,Palakkad,Pattambi,Semi-Urban,Apartment,1071,3,3,21,1,Semi-Furnished,2,9.7,Main Road,Yes,3110000,3000,Research-informed synthetic estimate
KHP100101,Kozhikode,Feroke,Semi-Urban,Villa,1663,2,2,29,0,Fully Furnished,2,6.9,Local Road,No,5470000,3700,Research-informed synthetic estimate
KHP100102,Wayanad,Meppadi,Semi-Urban,Independent House,2073,3,3,3,2,Semi-Furnished,1,4.5,Narrow Road,Yes,6640000,3300,Research-informed synthetic estimate
KHP100103,Palakkad,Palakkad Town,Urban,Apartment,2040,2,2,7,1,Unfurnished,1,2.2,Main Road,No,8900000,3900,Research-informed synthetic estimate
KHP100104,Kozhikode,Kottooli,Rural,Residential Plot,1820,3,3,2,0,Semi-Furnished,0,12.3,Main Road,No,9400000,6500,Research-informed synthetic estimate
KHP100105,Kollam,Kottarakkara,Semi-Urban,Villa,1760,3,2,3,2,Unfurnished,1,2.0,Highway Access,No,7550000,3400,Research-informed synthetic estimate
KHP100106,Alappuzha,Alappuzha Town,Urban,Independent House,3244,4,4,26,3,Semi-Furnished,1,7.0,Main Road,No,20330000,6000,Research-informed synthetic estimate
KHP100107,Kozhikode,Pantheerankavu,Semi-Urban,Independent House,2849,5,5,3,2,Unfurnished,0,1.6,Main Road,Yes,27710000,8500,Research-informed synthetic estimate
KHP100108,Palakkad,Chittur,Rural,Villa,735,1,1,7,2,Semi-Furnished,1,1.4,Main Road,No,2070000,2900,Research-informed synthetic estimate
KHP100109,Malappuram,Perinthalmanna,Rural,Apartment,1989,2,2,12,2,Unfurnished,1,2.5,Highway Access,Yes,7580000,4500,Research-informed synthetic estimate
KHP100110,Malappuram,Kondotty,Semi-Urban,Apartment,724,1,1,28,2,Semi-Furnished,7,2.6,Local Road,No,2530000,4300,Research-informed synthetic estimate
KHP100111,Kottayam,Pala,Semi-Urban,Villa,1479,2,2,9,1,Semi-Furnished,1,3.3,Local Road,No,6280000,4200,Research-informed synthetic estimate
KHP100112,Ernakulam,Palarivattom,Urban,Apartment,2283,4,4,19,0,Unfurnished,7,3.8,Main Road,No,17020000,7500,Research-informed synthetic estimate
KHP100113,Pathanamthitta,Thiruvalla,Semi-Urban,Independent House,2287,3,3,15,3,Unfurnished,0,4.6,Local Road,No,10100000,4700,Research-informed synthetic estimate
KHP100114,Kozhikode,Mavoor Road,Urban,Residential Plot,2985,4,4,18,1,Semi-Furnished,0,2.5,Highway Access,No,18580000,6400,Research-informed synthetic estimate
KHP100115,Malappuram,Kondotty,Semi-Urban,Apartment,3532,6,5,11,0,Unfurnished,4,5.6,Highway Access,No,17480000,4300,Research-informed synthetic estimate
KHP100116,Kozhikode,West Hill,Semi-Urban,Independent House,3082,5,5,20,0,Fully Furnished,2,1.9,Local Road,No,13100000,4200,Research-informed synthetic estimate
KHP100117,Kannur,Thottada,Semi-Urban,Independent House,1689,2,2,18,2,Fully Furnished,1,2.8,Local Road,No,5840000,4200,Research-informed synthetic estimate
KHP100118,Wayanad,Sulthan Bathery,Semi-Urban,Independent House,2544,5,5,8,2,Semi-Furnished,2,5.9,Local Road,No,10210000,3900,Research-informed synthetic estimate
KHP100119,Kottayam,Kumarakom,Semi-Urban,Independent House,4073,6,5,28,1,Semi-Furnished,1,7.9,Local Road,No,22930000,6500,Research-informed synthetic estimate
KHP100120,Thrissur,Muthuvattoor,Semi-Urban,Independent House,2981,4,4,1,1,Fully Furnished,0,7.2,Local Road,No,10980000,3500,Research-informed synthetic estimate
KHP100121,Pathanamthitta,Thiruvalla,Semi-Urban,Independent House,1509,3,3,27,2,Unfurnished,1,1.2,Main Road,No,6190000,4700,Research-informed synthetic estimate
KHP100122,Kollam,Chinnakada,Urban,Villa,2311,4,3,21,0,Fully Furnished,2,4.1,Local Road,No,12730000,5000,Research-informed synthetic estimate
KHP100123,Thiruvananthapuram,Kazhakoottam,Semi-Urban,Independent House,3637,5,5,7,2,Fully Furnished,1,5.5,Main Road,No,26500000,6800,Research-informed synthetic estimate
KHP100124,Kannur,Iritty,Rural,Independent House,2926,4,4,3,1,Semi-Furnished,1,12.0,Highway Access,No,8410000,2800,Research-informed synthetic estimate
KHP100125,Kasaragod,Cheruvathur,Rural,Residential Plot,1495,2,2,15,1,Unfurnished,0,2.3,Main Road,Yes,2840000,2900,Research-informed synthetic estimate
KHP100126,Kozhikode,Government Medical College,Urban,Independent House,696,1,1,26,0,Semi-Furnished,2,1.2,Main Road,No,6090000,9300,Research-informed synthetic estimate
KHP100127,Kozhikode,Vellayil,Semi-Urban,Independent House,3829,6,5,29,0,Semi-Furnished,2,2.2,Main Road,No,24920000,7100,Research-informed synthetic estimate
KHP100128,Malappuram,Perinthalmanna,Semi-Urban,Independent House,3341,5,5,27,0,Semi-Furnished,2,7.2,Main Road,No,13050000,4500,Research-informed synthetic estimate
KHP100129,Kozhikode,Feroke,Rural,Apartment,2232,2,1,4,1,Fully Furnished,7,3.6,Narrow Road,No,6630000,3700,Research-informed synthetic estimate
KHP100130,Kozhikode,Mavoor Road,Urban,Independent House,2190,2,2,27,0,Semi-Furnished,0,3.1,Local Road,No,10660000,6400,Research-informed synthetic estimate
KHP100131,Kannur,Kannur Town,Urban,Residential Plot,1387,4,4,7,2,Semi-Furnished,1,6.8,Main Road,No,5590000,4500,Research-informed synthetic estimate
KHP100132,Thiruvananthapuram,Pattom,Urban,Independent House,785,2,2,25,0,Semi-Furnished,1,5.4,Local Road,No,4800000,7200,Research-informed synthetic estimate
KHP100133,Kottayam,Kanjirappally,Rural,Independent House,3710,6,5,17,1,Unfurnished,2,9.2,Local Road,No,9230000,3000,Research-informed synthetic estimate
KHP100134,Kozhikode,Thondayad,Semi-Urban,Independent House,1036,1,1,1,1,Semi-Furnished,0,2.0,Main Road,No,5300000,5000,Research-informed synthetic estimate
KHP100135,Pathanamthitta,Pandalam,Semi-Urban,Apartment,1867,3,3,7,0,Fully Furnished,0,4.1,Narrow Road,No,6270000,3400,Research-informed synthetic estimate
KHP100136,Kasaragod,Nileshwar,Rural,Apartment,2938,5,5,21,1,Semi-Furnished,7,10.1,Highway Access,Yes,9430000,3200,Research-informed synthetic estimate
KHP100137,Kottayam,Pala,Semi-Urban,Independent House,2368,3,3,27,1,Semi-Furnished,0,1.8,Narrow Road,No,8080000,4200,Research-informed synthetic estimate
KHP100138,Thiruvananthapuram,Kowdiar,Urban,Independent House,3722,6,5,10,2,Fully Furnished,1,6.2,Highway Access,No,44160000,9000,Research-informed synthetic estimate
KHP100139,Kannur,Payyannur,Semi-Urban,Apartment,3506,6,5,12,0,Semi-Furnished,0,2.3,Main Road,No,17510000,3900,Research-informed synthetic estimate
KHP100140,Thrissur,Guruvayur,Semi-Urban,Residential Plot,1367,1,1,15,2,Semi-Furnished,1,3.9,Local Road,Yes,4260000,3700,Research-informed synthetic estimate
KHP100141,Kozhikode,Government Medical College,Urban,Apartment,1478,1,1,2,0,Fully Furnished,3,1.6,Main Road,Yes,14720000,9300,Research-informed synthetic estimate
KHP100142,Malappuram,Parappanangadi,Semi-Urban,Independent House,3261,6,5,23,0,Semi-Furnished,2,4.3,Main Road,Yes,12330000,3600,Research-informed synthetic estimate
KHP100143,Alappuzha,Chengannur,Semi-Urban,Independent House,848,1,1,6,0,Semi-Furnished,2,2.4,Local Road,No,2990000,4300,Research-informed synthetic estimate
KHP100144,Kozhikode,Feroke,Rural,Residential Plot,946,2,2,8,1,Semi-Furnished,2,3.2,Narrow Road,No,2440000,3700,Research-informed synthetic estimate
KHP100145,Alappuzha,Chengannur,Semi-Urban,Independent House,1285,2,2,16,2,Unfurnished,1,1.4,Highway Access,Yes,5910000,4300,Research-informed synthetic estimate
KHP100146,Kollam,Chinnakada,Urban,Residential Plot,1651,3,2,2,0,Fully Furnished,2,3.8,Local Road,Yes,7990000,5000,Research-informed synthetic estimate
KHP100147,Alappuzha,Cherthala,Semi-Urban,Villa,1812,3,3,1,0,Semi-Furnished,1,1.1,Local Road,Yes,10750000,4700,Research-informed synthetic estimate
KHP100148,Malappuram,Malappuram Town,Urban,Independent House,2524,3,3,2,2,Semi-Furnished,0,3.6,Highway Access,No,14150000,4400,Research-informed synthetic estimate
KHP100149,Idukki,Kumily,Semi-Urban,Independent House,3802,4,4,7,0,Fully Furnished,0,5.0,Local Road,No,12590000,3400,Research-informed synthetic estimate
KHP100150,Kollam,Chathannoor,Rural,Apartment,2971,5,5,21,0,Unfurnished,3,2.0,Local Road,No,7180000,3200,Research-informed synthetic estimate
KHP100151,Pathanamthitta,Ranni,Rural,Independent House,814,1,1,24,0,Unfurnished,2,1.4,Highway Access,No,1970000,3000,Research-informed synthetic estimate
KHP100152,Palakkad,Ottapalam,Semi-Urban,Independent House,3039,4,4,18,1,Fully Furnished,1,9.3,Local Road,Yes,9540000,3200,Research-informed synthetic estimate
KHP100153,Ernakulam,Pukkattupady,Semi-Urban,Independent House,1470,2,2,9,2,Semi-Furnished,0,1.1,Local Road,No,5640000,4700,Research-informed synthetic estimate
KHP100154,Malappuram,Kondotty,Semi-Urban,Independent House,841,1,1,22,0,Semi-Furnished,0,5.6,Main Road,Yes,3100000,4300,Research-informed synthetic estimate
KHP100155,Wayanad,Vythiri,Semi-Urban,Villa,1853,2,2,26,1,Unfurnished,1,9.2,Highway Access,No,8180000,4700,Research-informed synthetic estimate
KHP100156,Kannur,Thottada,Semi-Urban,Villa,1630,1,1,9,1,Semi-Furnished,2,1.2,Main Road,No,7820000,4200,Research-informed synthetic estimate
KHP100157,Pathanamthitta,Ranni,Rural,Apartment,1771,3,2,8,1,Semi-Furnished,7,1.6,Main Road,No,5180000,3000,Research-informed synthetic estimate
KHP100158,Idukki,Thodupuzha,Rural,Villa,4020,6,5,11,1,Semi-Furnished,2,1.3,Main Road,No,19140000,3900,Research-informed synthetic estimate
KHP100159,Idukki,Kumily,Rural,Villa,2509,5,5,24,0,Fully Furnished,0,2.0,Narrow Road,No,6530000,3400,Research-informed synthetic estimate
KHP100160,Kozhikode,Government Medical College,Urban,Apartment,4042,6,5,9,0,Semi-Furnished,0,1.4,Highway Access,No,51450000,9300,Research-informed synthetic estimate
KHP100161,Kollam,Chinnakada,Urban,Apartment,4053,6,5,6,2,Fully Furnished,5,1.9,Main Road,Yes,30480000,5000,Research-informed synthetic estimate
KHP100162,Ernakulam,Pukkattupady,Semi-Urban,Independent House,2742,4,4,17,0,Unfurnished,2,0.9,Main Road,No,12580000,4700,Research-informed synthetic estimate
KHP100163,Kannur,Thalassery,Semi-Urban,Residential Plot,1672,3,3,23,1,Semi-Furnished,0,4.4,Main Road,Yes,4790000,4300,Research-informed synthetic estimate
KHP100164,Ernakulam,Chottanikkara,Rural,Independent House,1418,4,3,22,0,Fully Furnished,0,18.0,Local Road,Yes,4460000,4200,Research-informed synthetic estimate
