District,Locality,Market_Tier,Research_Anchor_INR_per_sqft
Thrissur,Thrissur Town,Urban,5000
Thrissur,Mannuthy,Semi-Urban / Rural mix,4000
Thrissur,Kuttanellur,Semi-Urban / Rural mix,5500
Thrissur,Guruvayur,Semi-Urban / Rural mix,3700
Thrissur,Muthuvattoor,Semi-Urban / Rural mix,3500
Thrissur,Kunnamkulam,Semi-Urban / Rural mix,3500
Thrissur,Chalakudy,Semi-Urban / Rural mix,3900
Thrissur,Kodungallur,Semi-Urban / Rural mix,3600
Thrissur,Irinjalakuda,Semi-Urban / Rural mix,3400
Palakkad,Palakkad Town,Urban,3900
Palakkad,Olavakkode,Semi-Urban / Rural mix,4100
Palakkad,Ottapalam,Semi-Urban / Rural mix,3200
Palakkad,Shoranur,Semi-Urban / Rural mix,3100
Palakkad,Chittur,Semi-Urban / Rural mix,2900
Palakkad,Mannarkkad,Rural,2800
Palakkad,Pattambi,Semi-Urban / Rural mix,3000
Palakkad,Alathur,Rural,2900
Malappuram,Manjeri,Semi-Urban / Rural mix,4300
Malappuram,Perinthalmanna,Semi-Urban / Rural mix,4500
Malappuram,Tirur,Semi-Urban / Rural mix,4200
Malappuram,Kottakkal,Semi-Urban / Rural mix,4400
Malappuram,Nilambur,Semi-Urban / Rural mix,3300
Malappuram,Malappuram Town,Urban,4400
Malappuram,Ponnani,Semi-Urban / Rural mix,3500
Malappuram,Kondotty,Semi-Urban / Rural mix,4300
Malappuram,Parappanangadi,Semi-Urban / Rural mix,3600
Kozhikode,Pantheerankavu,Semi-Urban / Rural mix,8500
Kozhikode,Palazhi,Semi-Urban / Rural mix,8600
Kozhikode,Vellayil,Semi-Urban / Rural mix,7100
Kozhikode,Vadakara,Semi-Urban / Rural mix,6800
Kozhikode,Puthiyangadi,Semi-Urban / Rural mix,7900
Kozhikode,Government Medical College,Urban,9300
Kozhikode,Malaparamba,Semi-Urban / Rural mix,7500
Kozhikode,Chevarambalam,Semi-Urban / Rural mix,6300
Kozhikode,Mavoor Road,Urban,6400
Kozhikode,Thondayad,Semi-Urban / Rural mix,5000
Kozhikode,Chevayur,Semi-Urban / Rural mix,4700
Kozhikode,West Hill,Semi-Urban / Rural mix,4200
Kozhikode,Karaparamba,Semi-Urban / Rural mix,4000
Kozhikode,Nellikode,Semi-Urban / Rural mix,4500
Kozhikode,Cyberpark,Semi-Urban / Rural mix,5000
Kozhikode,Kottooli,Semi-Urban / Rural mix,6500
Kozhikode,Koyilandy,Semi-Urban / Rural mix,4100
Kozhikode,Ramanattukara,Semi-Urban / Rural mix,3900
Kozhikode,Feroke,Semi-Urban / Rural mix,3700
Kozhikode,Mukkam,Rural,3000
Wayanad,Kalpetta,Semi-Urban / Rural mix,4300
Wayanad,Sulthan Bathery,Semi-Urban / Rural mix,3900
Wayanad,Mananthavady,Semi-Urban / Rural mix,3400
Wayanad,Meppadi,Semi-Urban / Rural mix,3300
Wayanad,Panamaram,Rural,2900
Wayanad,Vythiri,Semi-Urban / Rural mix,4700
Wayanad,Ambalavayal,Semi-Urban / Rural mix,3200
Kannur,Kannur Town,Urban,4500
Kannur,Thalassery,Semi-Urban / Rural mix,4300
Kannur,Payyannur,Semi-Urban / Rural mix,3900
Kannur,Taliparamba,Semi-Urban / Rural mix,3500
Kannur,Mattannur,Semi-Urban / Rural mix,3400
Kannur,Thottada,Semi-Urban / Rural mix,4200
Kannur,Chala,Semi-Urban / Rural mix,3600
Kannur,Iritty,Rural,2800
Kannur,Sreekandapuram,Rural,2900
Kasaragod,Kasaragod Town,Urban,3600
Kasaragod,Kanhangad,Semi-Urban / Rural mix,3500
Kasaragod,Nileshwar,Semi-Urban / Rural mix,3200
Kasaragod,Manjeshwar,Semi-Urban / Rural mix,3400
Kasaragod,Uppala,Semi-Urban / Rural mix,3000
Kasaragod,Bekal,Semi-Urban / Rural mix,4200
Kasaragod,Hosdurg,Semi-Urban / Rural mix,3300
Kasaragod,Cheruvathur,Rural,2900
